1,101,
2,102,
3,103,
4,104,
5,105,
6,106,
7,107,
8,108,
9,109,
10,110,
11,111,
12,112,
13,113,
14,114,
15,115,
16,116,1001
17,117,1002
18,118,1003
19,119,1004
20,120,1005
21,121,1006
22,122,1007
23,123,1008
24,124,1009
25,125,1010
26,126,1011
27,127,1012
28,128,1013
29,129,1014
30,130,1015
31,131,1016
32,132,1017
33,133,1018
34,134,1019
35,135,1020
36,136,1021
37,137,1022
38,138,1023
39,139,1024
40,140,1025
41,141,1026
42,142,1027
43,143,1028
44,144,1029
45,145,1030
46,,1031
47,,1032
48,,1033
49,,1034
50,,1035
